ID,token_id,Price,date
228,38,3.79,2024-02-20
229,39,8.2,2024-02-15
230,39,3.67,2024-02-16
231,39,6.04,2024-02-17
232,39,0.2,2024-02-18
233,39,0.38,2024-02-19
234,39,1.42,2024-02-20
235,40,3.98,2024-02-15
236,40,1.66,2024-02-16
237,40,8.78,2024-02-17
238,40,8.64,2024-02-18
239,40,7.01,2024-02-19
240,40,0.38,2024-02-20
241,41,2.28,2024-02-15
242,41,6.36,2024-02-16
243,41,8.84,2024-02-17
244,41,2.16,2024-02-18
245,41,4.78,2024-02-19
246,41,2.06,2024-02-20
247,42,3.5,2024-02-15
248,42,6.55,2024-02-16
249,42,6.76,2024-02-17
250,42,4.94,2024-02-18
251,42,8.41,2024-02-19
252,42,9.84,2024-02-20
253,43,2.24,2024-02-15
254,43,2.39,2024-02-16
255,43,8.73,2024-02-17
256,43,6.97,2024-02-18
257,43,6.28,2024-02-19
258,43,9.2,2024-02-20
259,44,7.69,2024-02-15
260,44,9.84,2024-02-16
261,44,2.26,2024-02-17
262,44,9.09,2024-02-18
263,44,3.83,2024-02-19
264,44,4.03,2024-02-20
265,45,0.53,2024-02-15
266,45,9.2,2024-02-16
267,45,7.16,2024-02-17
268,45,0.6,2024-02-18
269,45,2.45,2024-02-19
270,45,1.1,2024-02-20
271,46,1.35,2024-02-15
272,46,7.62,2024-02-16
273,46,4.96,2024-02-17
274,46,5.52,2024-02-18
275,46,9.36,2024-02-19
276,46,5.09,2024-02-20
277,47,3.01,2024-02-15
278,47,9.61,2024-02-16
279,47,0.41,2024-02-17
280,47,7.57,2024-02-18
281,47,5.19,2024-02-19
282,47,0.75,2024-02-20
283,48,7.7,2024-02-15
284,48,0.93,2024-02-16
285,48,3.35,2024-02-17
286,48,6.02,2024-02-18
287,48,1.31,2024-02-19
288,48,3.75,2024-02-20
289,49,6.22,2024-02-15
290,49,1.04,2024-02-16
291,49,2.77,2024-02-17
292,49,1.62,2024-02-18
293,49,1.37,2024-02-19
294,49,4.61,2024-02-20
295,50,7.76,2024-02-15
296,50,7.6,2024-02-16
297,50,6.62,2024-02-17
298,50,8.09,2024-02-18
299,50,3.65,2024-02-19
300,50,4.74,2024-02-20
301,51,9.22,2024-02-15
302,51,2.35,2024-02-16
303,51,5.84,2024-02-17
304,51,4.22,2024-02-18
305,51,2.95,2024-02-19
306,51,1.18,2024-02-20
307,52,9.6,2024-02-15
308,52,5.98,2024-02-16
309,52,0.32,2024-02-17
310,52,8.18,2024-02-18
311,52,8.36,2024-02-19
312,52,0.81,2024-02-20
313,53,3.09,2024-02-15
314,53,1.05,2024-02-16
315,53,3.61,2024-02-17
316,53,1.96,2024-02-18
317,53,7.34,2024-02-19
318,53,4.36,2024-02-20
319,54,2.25,2024-02-15
320,54,0.79,2024-02-16
321,54,6.49,2024-02-17
322,54,4.57,2024-02-18
323,54,6.37,2024-02-19
324,54,0.36,2024-02-20
325,55,3.31,2024-02-15
326,55,2.11,2024-02-16
327,55,6.32,2024-02-17
328,55,9.67,2024-02-18
329,55,8.56,2024-02-19
330,55,5.77,2024-02-20
331,56,4.27,2024-02-15
332,56,3.59,2024-02-16
333,56,9.26,2024-02-17
334,56,8.93,2024-02-18
335,56,4.03,2024-02-19
336,56,7.84,2024-02-20
337,57,8.41,2024-02-15
338,57,1.04,2024-02-16
339,57,1.8,2024-02-17
340,57,7.38,2024-02-18
341,57,0.77,2024-02-19
342,57,5.83,2024-02-20
343,58,4.79,2024-02-15
344,58,7.43,2024-02-16
345,58,5.7,2024-02-17
346,58,2.71,2024-02-18
347,58,2.78,2024-02-19
348,58,9.84,2024-02-20
349,59,8.69,2024-02-15
350,59,8.66,2024-02-16
351,59,1.14,2024-02-17
352,59,9.95,2024-02-18
353,59,3.84,2024-02-19
354,59,7.96,2024-02-20
355,60,9.58,2024-02-15
356,60,7.03,2024-02-16
357,60,8.13,2024-02-17
358,60,0.55,2024-02-18
359,60,8.66,2024-02-19
360,60,5.45,2024-02-20
361,61,5.53,2024-02-15
362,61,0.34,2024-02-16
363,61,9.88,2024-02-17
364,61,4.5,2024-02-18
365,61,3.44,2024-02-19
366,61,3.15,2024-02-20
367,62,8.71,2024-02-15
368,62,1.02,2024-02-16
369,62,2.32,2024-02-17
370,62,7.59,2024-02-18
371,62,6.91,2024-02-19
372,62,5.67,2024-02-20
373,63,0.62,2024-02-15
374,63,8.4,2024-02-16
375,63,8.11,2024-02-17
376,63,1.57,2024-02-18
377,63,3.8,2024-02-19
378,63,3.43,2024-02-20
379,64,6.33,2024-02-15
380,64,0.45,2024-02-16
381,64,3.13,2024-02-17
382,64,2.21,2024-02-18
383,64,0.34,2024-02-19
384,64,4.17,2024-02-20
385,65,7.48,2024-02-15
386,65,9.9,2024-02-16
387,65,7.55,2024-02-17
388,65,7.35,2024-02-18
389,65,3.98,2024-02-19
390,65,6.14,2024-02-20
391,66,5.07,2024-02-15
392,66,1.76,2024-02-16
393,66,6.24,2024-02-17
394,66,4.23,2024-02-18
395,66,0.58,2024-02-19
396,66,2.74,2024-02-20
397,67,7.24,2024-02-15
398,67,3.04,2024-02-16
399,67,5.37,2024-02-17
400,67,0.91,2024-02-18
401,67,8.7,2024-02-19
402,67,3.36,2024-02-20
403,68,1.98,2024-02-15
404,68,4.97,2024-02-16
405,68,3.28,2024-02-17
406,68,7.93,2024-02-18
407,68,7.19,2024-02-19
408,68,7.64,2024-02-20
409,69,3.69,2024-02-15
410,69,8.48,2024-02-16
411,69,9.53,2024-02-17
412,69,3.51,2024-02-18
413,69,4.73,2024-02-19
414,69,8.47,2024-02-20
415,70,3.74,2024-02-15
416,70,3.4,2024-02-16
417,70,9.53,2024-02-17
418,70,2.58,2024-02-18
419,70,9.57,2024-02-19
420,70,6.1,2024-02-20
421,71,4.63,2024-02-15
422,71,4.56,2024-02-16
423,71,8.23,2024-02-17
424,71,7.59,2024-02-18
425,71,3.19,2024-02-19
426,71,8.04,2024-02-20
427,72,5.11,2024-02-15
428,72,5.79,2024-02-16
429,72,8.63,2024-02-17
430,72,7.93,2024-02-18
431,72,3.04,2024-02-19
432,72,5.88,2024-02-20
433,73,0.49,2024-02-15
434,73,4.88,2024-02-16
435,73,9.69,2024-02-17
436,73,9.08,2024-02-18
437,73,1.33,2024-02-19
438,73,5.14,2024-02-20
439,74,7.01,2024-02-15
440,74,1.03,2024-02-16
441,74,7.18,2024-02-17
442,74,4.17,2024-02-18
443,74,6.07,2024-02-19
444,74,3.66,2024-02-20
445,75,4.39,2024-02-15
446,75,3.32,2024-02-16
447,75,2.72,2024-02-17
448,75,1.92,2024-02-18
449,75,5.99,2024-02-19
450,75,2.35,2024-02-20
451,76,7.34,2024-02-15
452,76,2.08,2024-02-16
453,76,3.84,2024-02-17
454,76,9.19,2024-02-18
455,76,1.58,2024-02-19
456,76,3.52,2024-02-20
457,77,2.77,2024-02-15
458,77,3.6,2024-02-16
459,77,1.75,2024-02-17
460,77,4.78,2024-02-18
461,77,1.36,2024-02-19
462,77,4.25,2024-02-20
463,78,7.5,2024-02-15
464,78,0.13,2024-02-16
465,78,2.51,2024-02-17
466,78,3.58,2024-02-18
467,78,1.15,2024-02-19
468,78,2.05,2024-02-20
469,79,4.25,2024-02-15
470,79,4.45,2024-02-16
471,79,6.35,2024-02-17
472,79,5.95,2024-02-18
473,79,6.53,2024-02-19
474,79,5.27,2024-02-20
475,80,2.79,2024-02-15
476,80,1.13,2024-02-16
477,80,5.74,2024-02-17
478,80,1.43,2024-02-18
479,80,4.39,2024-02-19
480,80,0.8,2024-02-20
481,81,7.96,2024-02-15
482,81,3.38,2024-02-16
483,81,7.63,2024-02-17
484,81,8.87,2024-02-18
485,81,5.75,2024-02-19
486,81,0.78,2024-02-20
487,82,7.84,2024-02-15
488,82,7.49,2024-02-16
489,82,7.47,2024-02-17
490,82,3.38,2024-02-18
491,82,1.72,2024-02-19
492,82,8.93,2024-02-20
493,83,3.77,2024-02-15
494,83,6.56,2024-02-16
495,83,5.53,2024-02-17
496,83,6.78,2024-02-18
497,83,2.16,2024-02-19
498,83,4.19,2024-02-20
499,84,8.24,2024-02-15
500,84,6.73,2024-02-16
501,84,5.5,2024-02-17
502,84,4.95,2024-02-18
503,84,6.71,2024-02-19
504,84,9.07,2024-02-20
505,85,9.27,2024-02-15
506,85,7.25,2024-02-16
507,85,7.09,2024-02-17
508,85,7.66,2024-02-18
509,85,2.41,2024-02-19
510,85,4.48,2024-02-20
511,86,1.96,2024-02-15
512,86,0.6,2024-02-16
513,86,0.59,2024-02-17
514,86,8.9,2024-02-18
515,86,1.77,2024-02-19
516,86,6.49,2024-02-20
517,87,0.36,2024-02-15
518,87,9.32,2024-02-16
519,87,9.92,2024-02-17
520,87,9.86,2024-02-18
521,87,9.57,2024-02-19
522,87,6.46,2024-02-20
523,88,8.89,2024-02-15
524,88,9.42,2024-02-16
525,88,9.73,2024-02-17
526,88,1.24,2024-02-18
527,88,8.85,2024-02-19
528,88,0.29,2024-02-20
529,89,4.31,2024-02-15
530,89,9.87,2024-02-16
531,89,9.09,2024-02-17
532,89,5.21,2024-02-18
533,89,8.03,2024-02-19
534,89,0.99,2024-02-20
535,90,4.06,2024-02-15
536,90,8.66,2024-02-16
537,90,1.07,2024-02-17
538,90,7.79,2024-02-18
539,90,8.28,2024-02-19
540,90,0.98,2024-02-20
541,91,8.41,2024-02-15
542,91,7.81,2024-02-16
543,91,5.26,2024-02-17
544,91,7.03,2024-02-18
545,91,4.74,2024-02-19
546,91,2.92,2024-02-20
547,92,9.13,2024-02-15
548,92,9.85,2024-02-16
549,92,1.28,2024-02-17
550,92,2.67,2024-02-18
551,92,6.2,2024-02-19
552,92,1.29,2024-02-20
553,93,6.41,2024-02-15
554,93,2.54,2024-02-16
555,93,5.38,2024-02-17
556,93,7.68,2024-02-18
557,93,4.32,2024-02-19
558,93,7.53,2024-02-20
559,94,1.06,2024-02-15
560,94,2.09,2024-02-16
561,94,0.34,2024-02-17
562,94,4.5,2024-02-18
563,94,6.17,2024-02-19
564,94,8.41,2024-02-20
565,95,9.87,2024-02-15
566,95,7.48,2024-02-16
567,95,0.59,2024-02-17
568,95,7.95,2024-02-18
569,95,0.21,2024-02-19
570,95,4.25,2024-02-20
571,96,4.3,2024-02-15
572,96,5.45,2024-02-16
573,96,8.7,2024-02-17
574,96,2.09,2024-02-18
575,96,3.56,2024-02-19
576,96,1.82,2024-02-20
577,97,4.41,2024-02-15
578,97,5.67,2024-02-16
579,97,3.83,2024-02-17
580,97,4.04,2024-02-18
581,97,4.78,2024-02-19
582,97,7.63,2024-02-20
583,98,9.38,2024-02-15
584,98,1.18,2024-02-16
585,98,9.95,2024-02-17
586,98,3.44,2024-02-18
587,98,8.53,2024-02-19
588,98,5.85,2024-02-20
589,99,6.17,2024-02-15
590,99,6.89,2024-02-16
591,99,0.77,2024-02-17
592,99,0.52,2024-02-18
593,99,4.74,2024-02-19
594,99,0.54,2024-02-20
595,100,3.32,2024-02-15
596,100,0.32,2024-02-16
597,100,8.58,2024-02-17
598,100,5.2,2024-02-18
599,100,2.24,2024-02-19
600,100,5.02,2024-02-20
